tweet_id,rating_numerator,rating_denominator,name,stage
892177421306343426,13.0,10.0,Tilly,
891815181378084864,12.0,10.0,Archie,
891689557279858688,13.0,10.0,Darla,
891327558926688256,12.0,10.0,Franklin,
891087950875897856,13.0,10.0,,
890971913173991426,13.0,10.0,Jax,
890729181411237888,13.0,10.0,,
890609185150312448,13.0,10.0,Zoey,
890240255349198849,14.0,10.0,Cassie,doggo
890006608113172480,13.0,10.0,Koda,
889880896479866881,13.0,10.0,Bruno,
889665388333682689,13.0,10.0,,puppo
889638837579907072,12.0,10.0,Ted,
889531135344209921,13.0,10.0,Stuart,puppo
889278841981685760,13.0,10.0,Oliver,
888917238123831296,12.0,10.0,Jim,
888804989199671297,13.0,10.0,Zeke,
888554962724278272,13.0,10.0,Ralphus,
888078434458587136,12.0,10.0,Gerald,
887705289381826560,13.0,10.0,Jeffrey,
887473957103951883,13.0,10.0,Canela,
887343217045368832,13.0,10.0,,
887101392804085760,12.0,10.0,,
886983233522544640,13.0,10.0,Maya,
886736880519319552,13.0,10.0,Mingus,
886366144734445568,12.0,10.0,Roscoe,pupper
886258384151887873,13.0,10.0,Waffles,
885984800019947520,12.0,10.0,Jimbo,
885528943205470208,13.0,10.0,Maisey,
885167619883638784,13.0,10.0,,
884925521741709313,12.0,10.0,Earl,
884876753390489601,13.0,10.0,Lola,
884562892145688576,13.0,10.0,Kevin,
884441805382717440,14.0,10.0,,
884162670584377345,12.0,10.0,Yogi,doggo
883838122936631299,12.0,10.0,Noah,
883482846933004288,13.5,10.0,Bella,
883360690899218434,13.0,10.0,Grizzwald,floofer
883117836046086144,13.0,10.0,,
882992080364220416,13.0,10.0,Rusty,
882762694511734784,12.0,10.0,Gus,pupper
882627270321602560,13.0,10.0,Stanley,
882268110199369728,13.0,10.0,Alfy,
882045870035918850,13.0,10.0,Koko,
881906580714921986,12.0,10.0,Rey,
881666595344535552,13.0,10.0,Gary,pupper
881536004380872706,14.0,10.0,,pupper
880872448815771648,12.0,10.0,,
880465832366813184,12.0,10.0,Bella,
880221127280381952,12.0,10.0,Jesse,
880095782870896641,11.0,10.0,,
879862464715927552,13.0,10.0,Romeo,
879492040517615616,12.0,10.0,Bailey,
879415818425184262,13.0,10.0,Duddles,
879376492567855104,12.0,10.0,Jack,
879008229531029506,13.0,10.0,Beau,
878776093423087618,13.0,10.0,Snoopy,puppo
878281511006478336,13.0,10.0,Shadow,
878057613040115712,14.0,10.0,Emmy,
877736472329191424,13.0,10.0,Aja,
877556246731214848,12.0,10.0,Penny,
877316821321428993,13.0,10.0,Dante,
877201837425926144,12.0,10.0,Nelly,
876838120628539392,12.0,10.0,Ginger,pupper
876484053909872640,13.0,10.0,Benedict,
876120275196170240,13.0,10.0,Venti,puppo
875747767867523072,13.0,10.0,Goose,
875144289856114688,13.0,10.0,Nugget,
875021211251597312,12.0,10.0,,
874680097055178752,12.0,10.0,Cash,
874296783580663808,13.0,10.0,Jed,pupper
874057562936811520,12.0,10.0,,
874012996292530176,13.0,10.0,Sebastian,puppo
873580283840344065,13.0,10.0,,
873213775632977920,12.0,10.0,Sierra,pupper
872967104147763200,12.0,10.0,,doggo
872820683541237760,13.0,10.0,,
872620804844003328,13.0,10.0,Monkey,
872486979161796608,12.0,10.0,,
872261713294495745,13.0,10.0,Harry,
872122724285648897,12.0,10.0,Kody,
871879754684805121,13.0,10.0,Lassie,puppo
871762521631449091,12.0,10.0,Rover,pupper
871515927908634625,12.0,10.0,Napolean,doggo
871032628920680449,13.0,10.0,Boomer,
870656317836468226,13.0,10.0,Cody,
870374049280663552,13.0,10.0,Zoey,
870308999962521604,13.0,10.0,Rumble,
869772420881756160,13.0,10.0,Dewey,
869702957897576449,13.0,10.0,Stanley,
869596645499047938,12.0,10.0,Scout,doggo
869227993411051520,13.0,10.0,Gizmo,
868880397819494401,14.0,10.0,Walter,
868622495443632128,13.0,10.0,,
868552278524837888,12.0,10.0,Cooper,
867900495410671616,12.0,10.0,,
867774946302451713,13.0,10.0,Harold,
867421006826221569,12.0,10.0,Shikha,puppo
867051520902168576,13.0,10.0,,
866686824827068416,12.0,10.0,Lili,puppo
866450705531457537,13.0,10.0,Jamesy,pupper
866334964761202691,12.0,10.0,Coco,
865718153858494464,13.0,10.0,Boomer,
865359393868664832,13.0,10.0,Sammy,
865006731092295680,13.0,10.0,Nelly,
864279568663928832,12.0,10.0,Meatball,
864197398364647424,13.0,10.0,Paisley,
863553081350529029,13.0,10.0,Neptune,
